Date,MSFT-US,AAPL-US,AMZN-US,BRK.B-US,FB-US,JNJ-US,GOOGL-US,XOM-US,UNH-US,PFE-US,V-US,VZ-US,PG-US,T-US,INTC-US,CVX-US,SBAC-US,ROK-US,CLX-US,FE-US,MAT-US,UAA-US,NFX-US,COTY-US,NWS-US
30/12/2016,59.274975,111.39243,749.87,162.98,115.05,107.868614,792.45,81.63759,154.968,29.64848,76.70674,47.609528,77.58938,37.024406,33.98229,106.86098,103.26,127.79056,112.37292,27.816044,26.452494,29.05,40.5,16.750973,11.378274
02/01/2017,59.274975,111.39243,749.87,162.98,115.05,107.868614,792.45,81.63759,154.968,29.64848,76.70674,47.609528,77.58938,37.024406,33.98229,106.86098,103.26,127.79056,112.37292,27.816044,26.452494,29.05,40.5,16.750973,11.378274
03/01/2017,59.6947,111.70982,753.67,163.83,116.86,108.458466,808.01,82.207405,156.33333,30.123146,78.161835,48.679806,77.70011,37.450977,34.29147,106.99716,105.53,131.72697,113.30921,27.798082,27.345446,29.87,42.16,17.080322,11.61934
04/01/2017,59.4276,111.584785,757.18,164.08,118.69,108.280556,807.77,81.30293,156.77878,30.387867,78.80089,48.6263,77.97696,37.233345,34.11346,106.96994,105.68,131.1755,114.16123,27.816044,28.094376,30.54,42.49,17.38222,11.812191
05/01/2017,59.4276,112.15223,780.45,163.3,120.67,109.41347,813.02,80.09094,157.04019,30.679976,79.725075,48.733322,78.49372,37.128883,34.05724,106.506905,104.28,130.9663,114.88217,27.708263,29.707449,30.29,42.98,17.299885,11.812191
06/01/2017,59.942703,113.40254,795.99,163.41,123.41,108.88916,825.21,80.04571,157.26291,30.561296,80.82621,48.009926,78.46604,36.389114,34.17904,106.080185,103.52,131.69843,114.71364,27.959747,29.256172,30.47,42.97,17.45541,11.812191
09/01/2017,59.75193,114.44125,796.92,162.02,124.9,108.87042,827.18,78.725174,156.8175,30.552174,80.37397,47.487103,77.884674,35.931175,34.30084,105.172264,102.99,131.50829,113.57137,27.851969,29.30418,30.47,42.32,17.244995,11.95683
10/01/2017,59.73285,114.55666,795.9,161.47,124.35,108.75807,826.01,77.721214,156.45921,30.52479,79.94137,47.55921,77.04493,35.939976,34.23526,104.37331,102.6,132.66826,111.7737,27.277147,28.718481,30.71,41.61,17.34563,12.053258
11/01/2017,60.27657,115.172195,799.02,162.23,126.09,107.4192,829.86,78.51715,156.75938,29.96797,80.42313,47.28879,77.28486,35.763847,34.6194,105.25399,104.71,134.69353,111.15576,27.600487,28.334415,30.55,42.15,16.997984,12.101469
12/01/2017,59.723312,114.691315,813.64,161.41,126.62,107.3162,829.53,78.09205,157.21451,29.758018,80.000374,47.487103,77.3679,36.116108,34.39453,105.4628,105.12,133.83778,111.50219,27.555576,28.411228,30.38,42.5,16.96139,12.005044
13/01/2017,59.809162,114.48934,817.14,161.9,128.34,107.297485,830.94,78.101105,156.67227,29.684992,79.803734,47.369915,77.52479,36.072075,34.46949,105.66254,105.57,135.00732,111.914154,27.492708,28.344015,30.08,41.9,17.126062,12.005044
16/01/2017,59.809162,114.48934,817.14,161.9,128.34,107.297485,830.94,78.101105,156.67227,29.684992,79.803734,47.369915,77.52479,36.072075,34.46949,105.66254,105.57,135.00732,111.914154,27.492708,28.344015,30.08,41.9,17.126062,12.005044
17/01/2017,59.646996,115.41265,809.72,159.64,127.87,107.55027,827.46,79.01461,155.56836,29.265097,79.89222,47.541187,78.63216,36.204178,34.47886,105.571754,106.39,132.77289,113.59011,27.977713,29.678642,30.14,42.11,17.473707,12.246108
18/01/2017,59.61839,115.40302,807.48,160.49,127.92,107.391106,829.02,78.03777,152.74092,29.237709,80.21666,47.09949,78.99444,35.931175,34.441376,105.26306,107.06,133.07713,113.20623,27.627428,29.256172,29.35,41.67,17.31818,12.101469
