Headline,Identifier,Source,Time,Date,FDS Language,FDS Subject,Add Date,Add Time,Document Type,Time Zone,US Date,US Time,Close to Open Return (Rel),Sentiment Tag
TEGNA Statement on Verizon Retransmission Negotiations,VZ-US,BW,11:13pm,31-Dec-18,EN,"BA_PRD,COARLS,PRODS",31-Dec-18,11:13pm,PRN,EST,31-Dec-18,18:13,-0.0091,-1
CEO VESTBERG Updates Ownership of VERIZON COMMUNICATIONS INC (VZ),VZ-US,EDG, 1:11pm,31-Dec-18,EN,"FILNS,FORM4,INSACT",31-Dec-18, 1:11pm,"CO-FILNS,OWN-FILNS,FILNS",EST,31-Dec-18,08:11,-0.0006,-1
SVP SKIADAS Updates Ownership of VERIZON COMMUNICATIONS INC (VZ),VZ-US,EDG, 1:10pm,31-Dec-18,EN,"FILNS,FORM4,INSACT",31-Dec-18, 1:10pm,"CO-FILNS,OWN-FILNS,FILNS",EST,31-Dec-18,08:10,-0.0006,-1
EVP SILLIMAN Updates Ownership of VERIZON COMMUNICATIONS INC (VZ),VZ-US,EDG, 1:09pm,31-Dec-18,EN,"FILNS,FORM4,INSACT",31-Dec-18, 1:09pm,"CO-FILNS,OWN-FILNS,FILNS",EST,31-Dec-18,08:09,-0.0006,-1
EVP REED Updates Ownership of VERIZON COMMUNICATIONS INC (VZ),VZ-US,EDG, 1:08pm,31-Dec-18,EN,"FILNS,FORM4,INSACT",31-Dec-18, 1:08pm,"CO-FILNS,OWN-FILNS,FILNS",EST,31-Dec-18,08:08,-0.0006,-1
Officer MCADAM Updates Ownership of VERIZON COMMUNICATIONS INC (VZ),VZ-US,EDG, 1:08pm,31-Dec-18,EN,"FILNS,FORM4,INSACT",31-Dec-18, 1:08pm,"CO-FILNS,OWN-FILNS,FILNS",EST,31-Dec-18,08:08,-0.0006,-1
CEO GOWRAPPAN Updates Ownership of VERIZON COMMUNICATIONS INC (VZ),VZ-US,EDG, 1:07pm,31-Dec-18,EN,"FILNS,FORM4,INSACT",31-Dec-18, 1:07pm,"CO-FILNS,OWN-FILNS,FILNS",EST,31-Dec-18,08:07,-0.0006,-1
CFO ELLIS Updates Ownership of VERIZON COMMUNICATIONS INC (VZ),VZ-US,EDG, 1:06pm,31-Dec-18,EN,"FILNS,FORM4,INSACT",31-Dec-18, 1:06pm,"CO-FILNS,OWN-FILNS,FILNS",EST,31-Dec-18,08:06,-0.0006,-1
EVP DUNNE Updates Ownership of VERIZON COMMUNICATIONS INC (VZ),VZ-US,EDG, 1:05pm,31-Dec-18,EN,"FILNS,FORM4,INSACT",31-Dec-18, 1:05pm,"CO-FILNS,OWN-FILNS,FILNS",EST,31-Dec-18,08:05,-0.0006,-1
Twitter - @SeekingAlpha: $AAPL - Will Apple Get Its Mojo Back? https://t.co/U7JpZIJwXt,AAPL-US,TWTR,10:36pm,31-Dec-18,EN,,31-Dec-18,10:36pm,SM,EST,31-Dec-18,17:36,0.0082,1
Twitter - @SeekingAlpha: $AAPL - How Much Stock Could Apple Have Repurchased In Fourth Quarter? https://t.co/ktt06asOFD,AAPL-US,TWTR,10:12pm,31-Dec-18,EN,,31-Dec-18,10:14pm,SM,EST,31-Dec-18,17:12,0.0082,1
Twitter - @SeekingAlpha: $AAPL - Will Apple Beat Its Guidance? https://t.co/udbD2thO2J,AAPL-US,TWTR, 1:52pm,31-Dec-18,EN,,31-Dec-18, 1:53pm,SM,EST,31-Dec-18,08:52,0.0094,1
Amazon may release original movies in Imax theaters next year - Telegraph,AMZN-US,SA, 4:22am,31-Dec-18,EN,"CA_MNA_GEN,CORPS,MANDA,NS_PS,RU,RUMOR",31-Dec-18, 4:22am,SA,EST,30-Dec-18,23:22,0.0168,1
Amazon takes aim at consumers in rural India - WSJ,AMZN-US,SA, 2:24am,31-Dec-18,EN,"NS_PS,RU,RUMOR",31-Dec-18, 2:24am,SA,EST,30-Dec-18,21:24,0.0168,1
