 Date , SP500 , MSFT-US , AAPL-US , AMZN-US , BRK.B-US , FB-US , JNJ-US , JPM-US , GOOG-US , GOOGL-US , XOM-US , BAC-US , UNH-US , PFE-US , V-US , VZ-US , PG-US , T-US , INTC-US , CVX-US , WFC-US , NTRS-US , SBAC-US , ROK-US , CLX-US , FE-US , MAT-US , UAA-US , NFX-US , COTY-US , NWS-US 
 01/12/2016 ,-0.0041315,-0.0151391,-0.0079281,-0.0116426,0.0161188,-0.0277074,0.0001796,0.0141352,-0.0125687,-0.0182647,-0.008411,0.0037348,0.0114382,-0.0244961,-0.0275879,0.0014056,-0.0042576,0.0064716,-0.0315548,0.0044331,0.0227745,0.0346416,-0.0302725,0.0201516,-0.0134631,-0.0048169,-0.0370723,-0.0107143,-0.0092394,-0.0418654,0.004184
 02/12/2016 ,0.0003788,0.0028773,0.0066869,-0.0041162,-0.0041237,0.0025193,0.0021482,-0.002445,0.0079373,0.00336,-0.0017204,-0.0120986,-0.0016771,0.0028534,0.0042441,-0.0038,0.000607,-0.0059214,0.0130485,-0.0017669,-0.0121681,-0.0052968,0.0068743,0.0006583,-0.0004382,-0.013871,-0.0128502,-0.0095646,0.0045912, -   , -   
 05/12/2016 ,0.0018449,0.0087103,-0.008091,0.0192752,-0.0002496,0.0127641,-0.0040925,0.0116648,0.0063481,0.0106753,0.00103,0.0172332,-0.015981,-0.0047258,0.0088738,0.0002011,0.0052205,-0.0018087,0.0023313,-0.0012346,0.0083488,0.0041152,0.0098867,-0.0072874,-0.0073272,-0.0013097,-0.0119323,0.0076159,-0.0201847,0.0175731, -   
 06/12/2016 ,0.0022517,-0.007943,0.0041095,0.0009555,0.0047954,-0.0032288,-0.0016036,0.0010767,-0.007349,-0.0051398,0.0033229,0.0031688,-0.005374,-0.0028436,-0.0106494,0.0041874,-0.0039645,0.0146984,0.0095959,0.0032923,0.0202021,0.0092302,0.0035912,0.0051584,0.0023684,-0.0081646,-0.0204698,-0.0019355,0.0475133,0.0091349, -   
 07/12/2016 ,0.0138552,0.0226629,0.0161997,0.0076777,0.0169816,0.0081197,-0.0070605,0.0062238,0.0133903,0.0147702,0.0050211,0.0171248,0.0095635,-0.0044687,0.026401,0.0130126,0.0174039,0.0243099,0.0239398,0.0123851,0.031143,0.0345186,0.0202256,0.0190712,0.0128654,-0.0115094,0.0068119,0.03264,0.004492,-0.0010638,0.0082987
 08/12/2016 ,0.0022578,-0.0047308,0.0113657,-0.0058818,-0.0052734,0.0078827,0.0040708,0.0105662,0.0051005,0.0027997,0.0030663,0.0070205,-0.0005647,0.0032427,-0.0050202,-0.0019522,-0.0034607,0.0039751,0.0062006,0.003835, -   ,0.0108096,-0.0075962,-0.0054925,-0.0026959,0.0183454,0.00372,-0.0125899,0.0061233,0.0100637,0.0041152
 09/12/2016 ,0.0043561,0.0129127,0.0146023,-0.0017403,0.0035306,0.0038584,0.0076295,0.005528,0.0119103,0.0126986,0.0040614,0.0061003,0.0037613,0.0189649,-0.0001263,0.0078292,0.0101894,0.0024826,0.0002798,0.0071311,0.0040415, -   ,-0.0083518,0.0126989,0.0089263,0.0042483,-0.0064017,-0.0033233,-0.002295,-0.0005218,0.0163934
 12/12/2016 ,-0.0008279,0.0056614,0.0000883,-0.0081942,0.008928,-0.0121624,0.0236933,-0.0073805,0.0053883,0.0038269,0.0093189,-0.0169564,0.0041555,0.022082,-0.0062035,0.0042685,0.0109252,0.0138066,0.0053104,-0.0052644,-0.0127436,-0.0068216,0.0126904,-0.0154773,0.0077297,0.016029, -   ,-0.0203462,-0.0597015,-0.0312662, -   
 13/12/2016 ,0.0037114,0.0076798,0.0118588,0.0122621,0.0007808,0.0207874,0.0031161,-0.0025888,0.0027711,0.0036313,0.0075088,-0.0083333,0.0008726,0.0006096,0.0049486,0.0053763,0.0060234,0.0021808,0.0219386,-0.0040713,-0.0001791,0.0024781,0.026664,-0.0038519,0.0086979,0.0150931,0.0071331,0.0006202,0.0187234,0.0139784,-0.0080972
 14/12/2016 ,-0.0066436,-0.0050794,0.0013038,-0.0121169,-0.0091842,0.00175,-0.0097313,0.0101334,-0.0004138,0.0024145,-0.0182094,0.0161363,-0.0079432,-0.0030376,-0.0018919,-0.0158215,-0.0107868,-0.0048425,-0.0040874,-0.0064262,-0.0007308,0.0016978,-0.0150617,-0.0088464,-0.0085455,-0.0141777,-0.0010108,-0.0164596,-0.0238298,-0.0158561,-0.0040816
 15/12/2016 ,0.003665,-0.0019138,0.0038133,-0.0068904,0.0013897,0.0040806,0.0048555,0.0070259,0.0006396,-0.0020921,0.0087682,0.0113536,0.0046913,0.0036776,0.0016378,0.0085652,0.0062983,0.0146698,0.0013608,0.0122804,0.0003626,0.0130485,0.0035433,0.0036845,0.0229944,0.0048122,-0.0244966,-0.0211557,0.0013316,-0.0059587,-0.0163264
 16/12/2016 ,-0.0038556,-0.0103256,-0.0042929,-0.009451,-0.0083062,-0.0085194,-0.0045528,-0.0156448,-0.011994,-0.0103506,-0.0037151,-0.0283019,0.0158632,-0.0012164,-0.0109818,0.004034,-0.0025913,0.0004802,-0.0111655,0.0020368,-0.0027032,-0.0203765,-0.0037197,-0.0085978,0.0002521,0.0153356,-0.019401,-0.013952,-0.0052957,0.0080905,-0.0082645
 19/12/2016 ,0.0014562,0.0169435,0.0072538,0.0093689,0.0009686,-0.0050897,-0.0004309,0.0074295,0.0050366,0.0039788,-0.0105054,-0.0053099,-0.0095039,0.002137,0.0007687,0.0081935,-0.0004718,0.0107988,0.0151349,-0.0060826,0.0007248,0.0014684,0.0294898,-0.0053849,-0.0026828,-0.0084588,-0.0017599,-0.0127869,-0.0017746,-0.0005328,0.0125
 20/12/2016 ,0.0018795,-0.0023551,0.001799,0.0033435,0.0012639,-0.003431,-0.0027591,0.0086258,-0.0004267,0.0022499,-0.0008839,0.003535,-0.0007423,0.0021354,-0.0006376,0.0035897, -   ,0.0071141,0.0070365,0.0008487,0.0113573,0.0091793,-0.0116025,0.0039992,0.0071464,-0.0066667,0.0136794,-0.0019953,-0.0314368,-0.0063863,-0.0164608
 21/12/2016 ,-0.0023607,0.0017343,0.0022259,0.0007792,-0.0027043,0.0010091,-0.0076591,0.0037026,-0.0016084,-0.0043152,-0.0044112,-0.0039612,-0.0005576,-0.0100825,-0.0043325,-0.0022603,0.0010689,-0.0014144,-0.0072485,-0.0036337,-0.0067747,0.0046843,0.0057709,-0.0002214,0.0025996,0.0028725,-0.0165517,0.0087278,-0.014059,0.0016016,0.0041668
 22/12/2016 ,-0.0008706,-0.0045426,-0.0005157,-0.0023173,0.0015684,-0.0122834,0.0038262,0.005206,-0.0013883,0.0007168,0.0094425,-0.0026551,0.0011772,0.0015484,-0.0015379,0.0151372,0.0055955,0.0113637,-0.0080579,0.0070373,-0.0001794,-0.0064244,0.0023951,-0.0001475,0.0085362,-0.0047817,-0.0059629,-0.0170569,-0.0232131,-0.0021309, -   
 23/12/2016 ,0.0015662,-0.0033097,0.0080456,-0.0051795,-0.0056538,0.0023077,0.0048528,0.0005749,-0.0012517,-0.0002599,-0.0019807,0.0039983,0.0090989,0.0021598,0.0008965,0.0005591,0.0033065,-0.0014023,0.0010832,0.0000845,0.0032269,-0.00145,0.0054666,0.0045051,0.0031532,-0.0019151,-0.0045662,-0.0057705,0.0023641,-0.0016042,-0.0041321
 26/12/2016 ,0.0015662,-0.0033097,0.0080456,-0.0051795,-0.0056538,0.0023077,0.0048528,0.0005749,-0.0012517,-0.0002599,-0.0019807,0.0039983,0.0090989,0.0021598,0.0008965,0.0005591,0.0033065,-0.0014023,0.0010832,0.0000845,0.0032269,-0.00145,0.0054666,0.0045051,0.0031532,-0.0019151,-0.0045662,-0.0057705,0.0023641,-0.0016042,-0.0041321
 27/12/2016 ,0.0011693,0.0011074,0.006351,0.0104794,-0.0033835,0.0089774,0.0001726,0.0009189,0.0011003,0.0015457,-0.0008808,-0.0044032,-0.0037976,-0.001228,0.0010222,-0.0009311,-0.0035101,-0.0018721,0.0043349,-0.0023628,0.0008944,0.0035745,0.0007601,-0.0032973,0.0095214,0.0038512,-0.0211045,0.0092975,-0.0091421,0.0026723,0.0123967
 28/12/2016 ,-0.0089462,-0.006467,-0.0064669,-0.0053076,-0.010275,-0.0107454,-0.006731,-0.0075724,-0.0108983,-0.0107705,-0.0041904,-0.0128205,-0.0044401,-0.0046154,-0.0012754,-0.0035428,-0.0039099,-0.0030482,-0.0126683,-0.0033809,-0.0117901,-0.0125083,-0.0142045,-0.012749,-0.010933,-0.0150111,-0.0104016,0.0017024,-0.017221,-0.015966,-0.0163264
 29/12/2016 ,-0.0001067,0.0006364,0.0024046,-0.0093863,-0.0053681,-0.0055556,0.0022563,-0.0079695,-0.0006894,0.0006855,0.0027748,-0.0147785,-0.0054349,0.0030875,-0.0020384,0.0027991,0.0013055,0.0030567,0.0041082,-0.0016099,-0.0063417,-0.0065016,-0.0044057,0.0008165,0.0077223,0.0090792,-0.0003618,-0.0010253,-0.0065045,-0.0027084,0.0041668
 30/12/2016 ,-0.0056759,-0.0130242,-0.0071154,-0.0216577,-0.0011032,-0.013251,-0.0050949,0.0022068,-0.0139636,-0.0133962,0.0025547,0.003633,-0.0082419,0.0043291,-0.0052277,-0.0031747,-0.0010694,-0.005379,-0.0141342,0.0022137,0.0040081,-0.0002246,-0.0090211,-0.0084108,-0.0089184,-0.0064164,-0.0068494,-0.0037723,-0.0169903,-0.01027,-0.0288066
 02/01/2017 ,-0.0056759,-0.0130242,-0.0071154,-0.0216577,-0.0011032,-0.013251,-0.0050949,0.0022068,-0.0139636,-0.0133962,0.0025547,0.003633,-0.0082419,0.0043291,-0.0052277,-0.0031747,-0.0010694,-0.005379,-0.0141342,0.0022137,0.0040081,-0.0002246,-0.0090211,-0.0084108,-0.0089184,-0.0064164,-0.0068494,-0.0037723,-0.0169903,-0.01027,-0.0288066
 03/01/2017 ,0.0027803,-0.0033443,0.0030224,-0.0056075,-0.0031033,0.0071533,0.0005183,-0.0012593,0.0094118,0.0092303,-0.0005498,-0.0030974,0.0019859,0.0091742,0.0093956,0.01149,0.0038149,0.00773,-0.0002732,-0.0044772,0.0059277,-0.0077486,0.0026603,0.0194263,0.0037322,-0.0006457,0.0292735,0.0180641,0.0171291,0.0119242,0.0083682
 04/01/2017 ,0.0040458,-0.002881,0.0014674,-0.0015955,-0.0022499,0.009698,0.0012986,-0.0005749,-0.0018519,-0.0026176,-0.0134987,0.0101232,-0.00271,0.0048293,0.0089375,-0.0005499,0.0005921,-0.003959,-0.0081719,-0.0049825,-0.0019586,0.0055562,-0.0009454,-0.0058371,0.0006565,-0.0006454,0.023793,0.0129353,0.0126311,0.0154997,0.0165974
 05/01/2017 ,0.0003615,0.0017687,0.0059524,0.0248178,-0.0046325,0.015228,0.0074139,-0.0080636,0.0101008,0.0068359,-0.0181837,-0.0061349,0.0026583,0.0071922,0.0093355,-0.0025557,0.0077004,-0.0046673,-0.0027436,-0.0058474,-0.0055865,-0.0030981,-0.0068571,0.0005084,0.0053256,-0.0029088,0.0646938,-0.0085106,0.0053801,0.0005292,0.0040984
 06/01/2017 ,0.0025714,0.0086677,0.0096763,0.0174216,-0.0001836,0.020086,-0.0031712,-0.0031252,0.0136936,0.01254,-0.0032662,-0.0043898,0.0040803,-0.0053478,0.0111931,-0.0076393,0.0010477,-0.0157218,0.0005484,-0.0051937,-0.0039811,-0.0066344,-0.0084291,0.0010842,0.0004899,0.0136763,-0.0167796,-0.000656,-0.0023218,0.0073918, -   
 09/01/2017 ,-0.0020628,-0.001912,0.0088174,-0.0013534,-0.0062561,0.0109268,-0.0006016,0.005249,0.00031,0.0009802,-0.0133758,0.0017769,-0.0003085,0.0011964,-0.0064414,-0.0101466,0.0040447,-0.0118672,0.0035636,-0.0038697,-0.0080468,-0.0049179,-0.005312,-0.004964,-0.0119735,-0.0064081,0.0046083,-0.0032712,-0.0040009,-0.0026453,0.0122449
 10/01/2017 ,-0.0003613,-0.0017535,0.0028627,-0.0008787,-0.0032716,-0.0037654,0.0011205,0.0041827,-0.0038002,-0.0012816,-0.0142252,0.0154936,0.0019222,-0.0044657,-0.0047736,0.0013284,-0.0100782,0.003689,-0.0002735,-0.005192,0.0049679,0.0003361,-0.0011682,0.0038128,-0.0133885,-0.01524,-0.0193443, -   ,-0.0186321,0.0053023,0.0121458
