Date,SP500,MSFT-US,AAPL-US,AMZN-US,BRK.B-US,FB-US,JNJ-US,GOOGL-US,XOM-US,UNH-US,PFE-US,V-US,VZ-US,PG-US,T-US,INTC-US,CVX-US,SBAC-US,ROK-US,CLX-US,FE-US,MAT-US,UAA-US,NFX-US,COTY-US,NWS-US
01/12/2016,0.01871674,0.02096151,0.00602548,0.02393642,0.04511994,-0.00363237,-0.00233475,0.01659495,0.00102293,0.00175983,-0.03286828,0.02243146,0.03172699,0.02396278,0.04711353,0.01835896,0.01462904,0.01291625,0.03309042,0.00521158,-0.03468198,-0.06337138,0.04772727,0.0090245,-0.00476941,0.0167363
02/12/2016,0.02513327,0.0326675,0.02702225,0.03218994,0.02536707,0.0330119,-0.00653426,0.04366715,0.01296017,-0.0104348,-0.0190233,0.05145883,0.02259989,0.01396498,0.04042259,0.05871898,0.0174029,0.03416311,0.00665685,0.0054352,-0.01516134,-0.02207577,0.08641161,0.04175776,0.05417346,0.01244804
05/12/2016,0.02675573,0.03802346,0.035909,0.03175839,0.02876755,0.03216904,-0.00124543,0.05123377,0.0184233,-0.00043704,-0.00126028,0.03275478,0.03518297,0.02193591,0.04341092,0.04226154,0.0213424,0.01493306,0.0170531,0.00566988,0.00622136,-0.02253898,0.09238411,0.02684131,0.05216917,0.02904554
06/12/2016,0.0225166,0.0287936,0.03470316,-0.00506551,0.03456436,0.00067975,0.02779769,0.03551699,0.04251176,0.00834547,0.02369665,0.0071849,0.03210357,0.02270543,0.06034037,0.04594374,0.04235262,0.02349682,0.01252757,0.01780703,0.01436981,-0.01308719,0.04064516,0.03507993,-0.00107462,0.02074679
07/12/2016,0.02759282,0.04949178,0.05427417,0.01280492,0.02889959,0.0282906,0.03574937,0.0453747,0.05648752,0.0167836,0.04787743,0.02497722,0.03233436,0.02949007,0.04735376,0.06143642,0.03874736,0.04878545,0.00542786,0.02511798,0.03946063,0.00987734,0.03264,0.02417112,0.00319151,0.01659741
08/12/2016,0.00542137,0.02251226,0.03905819,-0.00395144,0.00048491,0.01890151,0.04025684,0.03145217,0.02873364,0.00282285,0.06420242,-0.00690266,0.0078079,0.00692218,0.02111784,0.03015767,0.01072078,0.01309345,-0.02023558,0.00886942,0.04369569,0.00270544,-0.05065947,-0.03125,-0.013771,0.00411522
09/12/2016,0.00546732,0.02288335,0.03125265,-0.01168831,0.00882639,0.0113236,0.04021177,0.0204554,0.02538363,0.00689556,0.05271609,0.00442194,0.01409258,0.01390122,0.03028799,0.02909105,0.01791456,0.02596096,-0.01160984,0.0356174,0.02352923,-0.02055261,-0.06344411,-0.05862716,-0.03630566,-0.01229499
12/12/2016,-0.00033646,0.00776432,0.02365621,-0.01126044,0.00066808,0.00545211,0.02830772,0.00623742,0.01153761,0.0321728,0.03596219,-0.00810227,0.01416383,0.00558144,0.02736705,0.01481297,0.00263242,0.03329949,-0.03331911,0.03387185,0.03958141,-0.0204013,-0.07713331,-0.0907624,-0.01947273,-0.02439023
13/12/2016,-0.00034904,0.01791981,0.024596,0.00135955,-0.00684726,0.01170881,0.00424131,0.0001354,-0.01599753,0.00710722,0.00060959,-0.00900894,0.01593698,0.00047259,0.02059591,0.02443783,-0.00212041,0.04198587,-0.02013075,0.02445756,0.01637761,-0.03668484,-0.06635659,-0.04255319,0.01541866,-0.01619441
14/12/2016,0.00106245,0.00857146,0.01660279,-0.00903309,-0.00138064,-0.00758333,-0.00396135,-0.00088244,-0.01983522,0.00279255,-0.00212631,-0.01160408,0.01258104,-0.00844173,0.02832938,0.0138964,0.01062464,0.00991157,-0.00884643,0.02367126,-0.01417772,-0.02628035,-0.06801242,-0.06914894,-0.00654406,-0.0244897
15/12/2016,0.00506263,0.01339716,0.01456043,0.00563763,0.00271903,-0.00866089,-0.00017347,-0.00631301,0.00199772,0.00913242,-0.00704872,-0.01549721,0.03114653,0.00154475,0.03569658,0.00653224,0.01971802,0.02923228,-0.00103157,0.03354078,0.00802035,-0.04295299,-0.05115251,-0.03506436,0.01625135,-0.01632644
16/12/2016,-0.00258072,0.00953143,-0.00154543,0.00175163,-0.00066209,-0.02894955,-0.00833247,-0.01054613,-0.00710224,0.0012393,-0.01642335,-0.01666224,0.03054185,-0.00506464,0.02569012,0.005719,0.00789209,0.02417776,-0.00374765,0.01260388,-0.00255577,-0.03539824,-0.04639844,-0.06222418,0.0102481,-0.00413214
19/12/2016,0.00201395,0.01086943,0.00621747,0.00224011,0.00078697,-0.02152691,-0.0009477,-0.00182879,-0.00733195,-0.00036778,-0.00854686,0.00140942,0.02286572,0.00247789,0.02543791,0.01733641,0.00042232,0.03057112,0.00331948,0.01358162,-0.02036349,-0.00246398,-0.03967213,-0.05944987,-0.00532745,0.00416675
20/12/2016,-0.00119568,-0.0070654,-0.0018844,-0.01048592,-0.00499549,-0.01866109,-0.00017248,-0.00684805,0.00220953,0.00816285,-0.00915186,-0.00331605,0.01416966,0.00461145,0.01327978,0.00054126,0.00483667,-0.00294817,0.00725768,0.016479,-0.00730155,-0.00596287,-0.02593947,-0.06132389,-0.00638635,-0.00823036
21/12/2016,-0.0007311,-0.00236474,0.00393836,0.00181818,-0.00871394,-0.0076522,-0.0024956,-0.00709802,0.00077196,0.00755801,-0.00611052,-0.0016564,0.01035983,0.00486988,0.00542227,-0.0048324,-0.00101404,0.0130807,0.00317098,0.02247381,-0.00159591,-0.04034487,-0.01611279,-0.0414966,0.00160156,0.02083332
22/12/2016,-0.00574918,-0.01331462,0.00352379,0.00522054,-0.01218556,-0.01632172,0.00086959,-0.00559881,0.00311064,0.00030971,0.00185811,0.00358912,0.01116371,0.00083338,0.00662883,-0.01611586,-0.00025449,-0.00268251,-0.00626867,0.00694622,-0.01689515,-0.0322693,-0.01605351,-0.04251896,-0.01491736, -   
23/12/2016,-0.00486229,-0.0086682,0.00986248,0.00078478,-0.01930711,-0.00555556,0.00078003,-0.00634893,-0.00594125,-0.00321875,0.00246841,0.0032019,0.00167761,-0.00389721,-0.00303841,-0.00731133,-0.00498253,-0.00306896,-0.00406179,0.00696986,-0.00670271,-0.02950478,-0.0078072,-0.0250591,-0.01550804,-0.00413214
26/12/2016,-0.00947683,-0.02064627,0.00198972,-0.01920084,-0.01972814,-0.01666667,-0.00164629,-0.01925719,-0.00693143,-0.00940841,0.00215981,-0.00076857,-0.00503273,-0.00708559,-0.00607649,-0.01787162,-0.00599606,-0.00968639,-0.0073855,-0.0041487,-0.01149055,-0.03231471,-0.01391718,-0.04255319,-0.02085567,-0.02479338
27/12/2016,-0.01209056,-0.01692784,-0.00600755,-0.01772334,-0.01528609,-0.01633037,-0.00586751,-0.02006974,-0.00627535,-0.01972332,-0.00276314,-0.00319418,-0.0057739,-0.00963517,-0.00468078,-0.01733932,-0.00675108,-0.01890736,-0.0152404,-0.00629255,-0.00609747,-0.03095331,0.00034435,-0.05063291,-0.02137885,-0.02479338
